,id,marital_status,vintage,claim_amount,Female,Male,Rural,Urban,Bachelor,High School,Others,2L-5L,5L-10L,<=2L,More than 10L,1,More than 1,A,B,C,Gold,Platinum,Silver
Others,0.0032019561149377435,0.003187876481984784,-0.00895475530180842,-0.03765139789829985,0.004402279708585094,-0.004402279708585069,0.0411502161983327,-0.041150216198332853,-0.18565999922949966,-0.21652442324256238,1.0,-0.007307241128648446,-0.0035276775587731127,0.00012048021435971361,0.013405615736400417,0.07246352802650083,-0.07246352802650086,-0.023833833196116955,0.0163264847173082,0.014580450568663647,0.015426967617764298,-0.03703777893334133,0.02825172106774666
2L-5L,-0.004874653039974521,-0.05102012339513989,0.021922390684559583,0.15339595251530772,0.015237116757070188,-0.015237116757070221,-0.2045232597727813,0.20452325977278113,0.006930384761665954,-0.003955581458993833,-0.007307241128648446,1.0,-0.6676012381322307,-0.08103888289729089,-0.2365361773574028,-0.07617040377958928,0.07617040377958925,-0.09979697756646688,0.09755571802625627,0.01564391844458146,-0.025658331720697116,-0.021355377994257047,0.050598188088481794
5L-10L,0.00222825061722976,0.05298731237641207,-0.017905189804132214,-0.06490541401507702,-0.03289323025177928,0.03289323025177924,0.08682798387567046,-0.08682798387567044,-0.010868719891675831,0.012213181099981573,-0.0035276775587731127,-0.6676012381322307,1.0,-0.17447644248608207,-0.5092615947937311,0.058476495978015804,-0.058476495978015464,0.09233131574208424,-0.0978134563592279,-0.0027214943532348733,0.021827625718998246,0.019326553280772284,-0.04440798123651289
<=2L,-0.005243206330477461,-0.009521465088941541,0.005196560893646776,0.07603537406467344,0.03662406651419473,-0.036624066514194704,-0.09300958713296462,0.09300958713296463,-0.010140859023828165,0.010027149950003663,0.00012048021435971361,-0.08103888289729089,-0.17447644248608207,1.0,-0.06181832565205953,-0.031006625920448175,0.031006625920448058,0.036526345831665946,-0.040921936079339805,0.0023869994742333005,-0.024788716090771896,0.007979585339611376,0.015226457612424978
More than 10L,0.00478855283672353,-0.008394316556494346,-0.0034775160079357635,-0.1225820285357086,0.012460158771754364,-0.012460158771754286,0.15972908969690883,-0.1597290896969088,0.010686778467369755,-0.015993338866149093,0.013405615736400417,-0.2365361773574028,-0.5092615947937311,-0.06181832565205953,1.0,0.022318612234802648,-0.02231861223480263,-0.022796471567949943,0.03467832818996252,-0.01570373262086249,0.010287922898275379,-0.004353378107005478,-0.005093997826381376
1,0.004105402436705008,0.08236265926589811,-0.05069877661379045,-0.1552811555147897,-0.05287055697613708,0.0528705569761371,0.12189821411487842,-0.12189821411487832,-0.023337013359512635,-0.005870426751080563,0.07246352802650083,-0.07617040377958928,0.058476495978015804,-0.031006625920448175,0.022318612234802648,1.0,-0.9999999999999989,-0.001626750782856994,-0.010923246425098907,0.019718340169856727,0.002829421727709218,-0.05075322503312331,0.056894308948052925
More than 1,-0.0041054024367148875,-0.08236265926589853,0.05069877661379025,0.1552811555147896,0.052870556976137455,-0.05287055697613745,-0.12189821411487835,0.12189821411487792,0.023337013359512642,0.005870426751080646,-0.07246352802650086,0.07617040377958925,-0.058476495978015464,0.031006625920448058,-0.02231861223480263,-0.9999999999999989,1.0,0.0016267507828570005,0.01092324642509891,-0.019718340169856696,-0.00282942172770921,0.050753225033123656,-0.05689430894805289
A,0.00033380783861027366,0.029832578741451708,-0.07375790946074648,0.14842650668338753,0.007720514924302004,-0.007720514924301982,-0.15453257555159378,0.15453257555159366,-0.05361796402700266,0.06282924339770939,-0.023833833196116955,-0.09979697756646688,0.09233131574208424,0.036526345831665946,-0.022796471567949943,-0.001626750782856994,0.0016267507828570005,1.0,-0.8111804755791683,-0.4155144469842094,0.03637048492620362,0.06794524310940604,-0.11604064660201263
B,-0.001299989032659976,-0.04275943087753481,0.09478011851894644,-0.16335504221033756,-0.0033753573865932304,0.0033753573865932694,0.17611642537233171,-0.17611642537233083,0.0800950431885854,-0.08612522280972547,0.0163264847173082,0.09755571802625627,-0.0978134563592279,-0.040921936079339805,0.03467832818996252,-0.010923246425098907,0.01092324642509891,-0.8111804755791683,1.0,-0.19486528856528088,-0.06780315378326043,-0.03151271608935782,0.10439333123532389
C,0.001462123520304083,0.016471927890655165,-0.023712123216813732,0.005137486705338833,-0.007698981904796015,0.00769898190479606,-0.014745227285086232,0.014745227285086236,-0.0346501541491906,0.028580123765066672,0.014580450568663647,0.01564391844458146,-0.0027214943532348733,0.0023869994742333005,-0.01570373262086249,0.019718340169856727,-0.019718340169856696,-0.4155144469842094,-0.19486528856528088,1.0,0.04445923050357558,-0.06494435189137492,0.03225292180506624
Gold,0.0009198744767162686,0.014407470029322657,-0.0015131001945644894,0.013482657541271472,0.000745330528166104,-0.0007453305281661235,-0.013567727802932594,0.013567727802932543,-0.020398972797909302,0.01408140538355217,0.015426967617764298,-0.025658331720697116,0.021827625718998246,-0.024788716090771896,0.010287922898275379,0.002829421727709218,-0.00282942172770921,0.03637048492620362,-0.06780315378326043,0.04445923050357558,1.0,-0.5863309509720794,-0.30319005760562595
Platinum,-0.005495856041043611,-0.015609495413695698,-0.009787575391963713,0.007126246675844906,-0.015893191343317875,0.01589319134331799,-0.014939290504664623,0.014939290504664719,-0.01950605299731119,0.03423193094964476,-0.03703777893334133,-0.021355377994257047,0.019326553280772284,0.007979585339611376,-0.004353378107005478,-0.05075322503312331,0.050753225033123656,0.06794524310940604,-0.03151271608935782,-0.06494435189137492,-0.5863309509720794,1.0,-0.5941719127858867
Silver,0.005551702535734567,0.004056778916044846,0.013016033659458854,-0.021770210881064612,0.017955946854879095,-0.017955946854878845,0.031045575966289516,-0.031045575966289568,0.04320059507270753,-0.05425057178608515,0.02825172106774666,0.050598188088481794,-0.04440798123651289,0.015226457612424978,-0.005093997826381376,0.056894308948052925,-0.05689430894805289,-0.11604064660201263,0.10439333123532389,0.03225292180506624,-0.30319005760562595,-0.5941719127858867,1.0
